"US","alabama","auburn","auburn","auburn.craigslist.org",,,,"Auburn AL","Alabama"
"US","alabama","bham","birmingham","bham.craigslist.org",,,,"Birmingham AL","Alabama"
"US","alabama","dothan","dothan","dothan.craigslist.org",,,,"Dothan AL","Alabama"
"US","alabama","shoals","florence / muscle shoals","shoals.craigslist.org",,,,"Florence/Muscle Shoals AL","Alabama"
"US","alabama","gadsden","gadsden-anniston","gadsden.craigslist.org",,,,"Gadsden-Anniston AL","Alabama"
"US","alabama","huntsville","huntsville / decatur","huntsville.craigslist.org",,,,"Huntsville/Decatur AL","Alabama"
"US","alabama","mobile","mobile","mobile.craigslist.org",,,,"Mobile AL","Alabama"
"US","alabama","montgomery","montgomery","montgomery.craigslist.org",,,,"Montgomery AL","Alabama"
"US","alabama","tuscaloosa","tuscaloosa","tuscaloosa.craigslist.org",,,,"Tuscaloosa AL","Alabama"
"US","alaska","anchorage","anchorage / mat-su","anchorage.craigslist.org",,,,"Anchorage/Mat-Su AK","Alaska"
"US","alaska","fairbanks","fairbanks","fairbanks.craigslist.org",,,,"Fairbanks AK","Alaska"
"US","alaska","kenai","kenai peninsula","kenai.craigslist.org",,,,"Kenai Peninsula AK","Alaska"
"US","alaska","juneau","southeast alaska","juneau.craigslist.org",,,,"Southeast AK","Alaska"
"US","arizona","flagstaff","flagstaff / sedona","flagstaff.craigslist.org",,,,"Flagstaff/Sedona AZ","Arizona"
"US","arizona","mohave","mohave county","mohave.craigslist.org",,,,"Mohave Co AZ","Arizona"
"US","arizona","phoenix","phoenix","phoenix.craigslist.org","cph","central/south phx",,"Phoenix AZ","Arizona"
"US","arizona","phoenix","phoenix","phoenix.craigslist.org","evl","east valley",,"Phoenix AZ","Arizona"
"US","arizona","phoenix","phoenix","phoenix.craigslist.org","nph","phx north",,"Phoenix AZ","Arizona"
"US","arizona","phoenix","phoenix","phoenix.craigslist.org","wvl","west valley",,"Phoenix AZ","Arizona"
"US","arizona","prescott","prescott","prescott.craigslist.org",,,,"Prescott AZ","Arizona"
"US","arizona","showlow","show low","showlow.craigslist.org",,,,"Show Low AZ","Arizona"
"US","arizona","sierravista","sierra vista","sierravista.craigslist.org",,,,"Sierra Vista AZ","Arizona"
"US","arizona","tucson","tucson","tucson.craigslist.org",,,,"Tucson AZ","Arizona"
"US","arizona","yuma","yuma","yuma.craigslist.org",,,,"Yuma AZ","Arizona"
"US","arkansas","fayar","fayetteville ","fayar.craigslist.org",,,,"Fayetteville AR","Arkansas"
"US","arkansas","fortsmith","fort smith","fortsmith.craigslist.org",,,,"Fort Smith AR","Arkansas"
"US","arkansas","jonesboro","jonesboro","jonesboro.craigslist.org",,,,"Jonesboro AR","Arkansas"
"US","arkansas","littlerock","little rock","littlerock.craigslist.org",,,,"Little Rock AR","Arkansas"
"US","arkansas","texarkana","texarkana","texarkana.craigslist.org",,,,"Texarkana TX","Texas"
"US","california","bakersfield","bakersfield","bakersfield.craigslist.org",,,,"Bakersfield CA","California"
"US","california","chico","chico","chico.craigslist.org",,,,"Chico CA","California"
"US","california","fresno","fresno / madera","fresno.craigslist.org",,,,"Fresno/Madera CA","California"
